Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C16, C17, C27, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C7, C8",0402,22,0.1uF,
"C12, C15, C6",0603,3,4.7uF,
"C13, C14, C18, C19, C20, C23, C24, C52, C53, C54, C55",0603,11,10uF,
"C2, C4",0402,2,0.47uF,
"C21, C25, C29",0805,3,10uF,
"C22, C26, C30",0603,3,220pF,
"C28, C3, C5",0402,3,1uF,
"C31, C32, C34, C9",0603,4,2.2uF,
"C33, C37",0402,2,22pF,
"C35, C36",0402,2,30pF,
"CN1, CN2",CONN-SMD_50P-P0.50_DF12NB3.0-50DP-0.5V-51,2,DF12NB(3.0)-50DP-0.5V(51),
Card1,TF-SMD_TF-018,1,TF-018,
D1,0603,1,LED-B,
D2,0603,1,LED-G,
"D3, D4, D5, D6, D7",0603,5,LED-R,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5_ISO14580_Pad_TopOnly,4,MountingHole_Pad,
"J1, J2, J3, J4",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,4,Conn_01x04,
L1,ANT-SMD_L3.2-W1.6-A,1,AN3216-245,
"L2, L3, L4, L5",0805,4,2.2uH,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,8,WS2812B-2020,
MIC1,MIC-TH_BD4.0-P1.40-D0.3-L,1,B4012AP422-003,
"R1, R11, R12, R13, R14, R15, R26, R27, R3, R31, R4, R7, R8",0402,13,47kΩ,
"R10, R5, R6, R9",0402,4,5.1kΩ,
"R16, R17, R37, R38, R39, R40, R41",0402,7,2kΩ,
"R18, R22, R24, R30, R34",0402,5,150kΩ,
"R19, R20",0402,2,1kΩ,
R2,0402,1,0Ω,
R21,0402,1,240Ω 1%,
R23,0402,1,75kΩ,
"R25, R32",0402,2,NC,
R28,0402,1,300kΩ,
R29,0402,1,120Ω,
R33,0402,1,680kΩ,
"R35, R36",0402,2,10kΩ,
"SW1, SW2",SW-SMD_D-SWITCH_DS-THAM04-ABB-R,2,DS-THAM04-ABB-R,
U1,QFN-40_L5.0-W5.0-P0.40-BL-EP3.4,1,XR829_C5365287,
U3,MSOP-10_3x3mm_P0.5mm,1,CH340E,
"U4, U5",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,2,PAM8301AAF_C3001605,
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232,
U7,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,
U8,WQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm_ThermalVias,1,EA3036C,
"USB1, USB2",USB-C-SMD_TYPE-C-6PIN-2MD-073,2,TYPE-C_16PIN_2MD(073),
Ur,TQFP-128_L14.0-W14.0-P0.40-LS16.0-BL-EP6.4,1,T113-S3,
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,SMD-3225_4P_24.000MHZ_18PF,
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,
